"","country","year","infant_mortality","life_expectancy","fertility","population","gdp","maternal_mortality","health_spending","gini"
"1","Abkhazia",1800,NA,NA,NA,NA,NA,NA,NA,NA
"2","Afghanistan",1800,NA,28.21,7,3280000,NA,NA,NA,NA
"3","Akrotiri and Dhekelia",1800,NA,NA,NA,NA,NA,NA,NA,NA
"4","Albania",1800,NA,35.4,4.6,410445,NA,NA,NA,NA
"5","Algeria",1800,NA,28.82,6.99,2503218,NA,NA,NA,NA
"6","American Samoa",1800,NA,NA,NA,8170,NA,NA,NA,NA
"7","Andorra",1800,NA,NA,NA,2654,NA,NA,NA,NA
"8","Angola",1800,NA,26.98,6.93,1567028,NA,NA,NA,NA
"9","Anguilla",1800,NA,NA,NA,2025,NA,NA,NA,NA
"10","Antigua and Barbuda",1800,NA,33.54,5,37000,NA,NA,NA,NA
"11","Argentina",1800,NA,33.2,6.8,534000,NA,NA,NA,NA
"12","Armenia",1800,NA,34,7.8,413326,NA,NA,NA,NA
"13","Aruba",1800,NA,34.42,5.64,19286,NA,NA,NA,NA
"14","Australia",1800,NA,34.05,6.5,351014,NA,NA,NA,NA
"15","Austria",1800,NA,34.4,5.1,3205587,NA,NA,NA,NA
"16","Azerbaijan",1800,NA,29.17,8.1,879960,NA,NA,NA,NA
"17","Bahamas",1800,NA,35.18,5.9,27350,NA,NA,NA,NA
"18","Bahrain",1800,NA,30.3,7.03,64474,NA,NA,NA,NA
"19","Bangladesh",1800,NA,25.5,6.7,19227358,NA,NA,NA,NA
"20","Barbados",1800,NA,32.12,4.96,81729,NA,NA,NA,NA
"21","Belarus",1800,NA,36.2,7,2355081,NA,NA,NA,NA
"22","Belgium",1800,NA,40,4.85,3138137,NA,NA,NA,NA
"23","Belize",1800,NA,26.5,6.69,25526,NA,NA,NA,NA
"24","Benin",1800,NA,31,5.55,636559,NA,NA,NA,NA
"25","Bermuda",1800,NA,NA,NA,9692,NA,NA,NA,NA
"26","Bhutan",1800,NA,28.8,6.67,89989,NA,NA,NA,NA
"27","Bolivia",1800,NA,33,6.48,1100000,NA,NA,NA,NA
"28","Bosnia and Herzegovina",1800,NA,35.1,5.91,851806,NA,NA,NA,NA
"29","Botswana",1800,NA,33.6,6.47,121000,NA,NA,NA,NA
"30","Brazil",1800,NA,32,6.26,3639636,NA,NA,NA,NA
"31","British Virgin Islands",1800,NA,NA,NA,6700,NA,NA,NA,NA
"32","Brunei",1800,NA,29.2,7.06,2128,NA,NA,NA,NA
"33","Bulgaria",1800,NA,35.8,5.16,1992320,NA,NA,NA,NA
"34","Burkina Faso",1800,NA,29.2,6.03,1665421,NA,NA,NA,NA
"35","Burundi",1800,NA,31.5,6.8,899097,NA,NA,NA,NA
"36","Cambodia",1800,NA,35,6.95,2090000,NA,NA,NA,NA
"37","Cameroon",1800,NA,28.75,5.54,1860054,NA,NA,NA,NA
"38","Canada",1800,NA,39,5.72,645526,NA,NA,NA,NA
"39","Cape Verde",1800,NA,33.8,6.43,55716,NA,NA,NA,NA
"40","Cayman Islands",1800,NA,NA,NA,2439,NA,NA,NA,NA
"41","Central African Republic",1800,NA,30,6.51,479444,NA,NA,NA,NA
"42","Chad",1800,NA,30.9,6.06,1432000,NA,NA,NA,NA
"43","Channel Islands",1800,NA,NA,5.07,43908,NA,NA,NA,NA
"44","Chile",1800,NA,32,5.98,771447,NA,NA,NA,NA
"45","China",1800,NA,32,5.5,321675013,NA,NA,NA,NA
"46","Christmas Island",1800,NA,NA,NA,NA,NA,NA,NA,NA
"47","Cocos Island",1800,NA,NA,NA,NA,NA,NA,NA,NA
"48","Colombia",1800,NA,32,6.19,1206000,NA,NA,NA,NA
"49","Comoros",1800,NA,32.1,6.01,56346,NA,NA,NA,NA
"50","Congo, Dem. Rep.",1800,NA,31.6,5.99,5163819,NA,NA,NA,NA
"51","Congo, Rep.",1800,NA,32.7,5.67,314465,NA,NA,NA,NA
"52","Cook Is",1800,NA,NA,NA,16136,NA,NA,NA,NA
"53","Costa Rica",1800,NA,30.21,6.93,51987,NA,NA,NA,NA
"54","Cote d'Ivoire",1800,NA,31.16,6.78,1088530,NA,NA,NA,NA
"55","Croatia",1800,NA,36.1,5.75,1227886,NA,NA,NA,NA
"56","Cuba",1800,NA,32.2,5.78,345043,NA,NA,NA,NA
"57","Cyprus",1800,NA,38.5,6.03,184392,NA,NA,NA,NA
"58","Czech Republic",1800,NA,34.95,5.33,5516349,NA,NA,NA,NA
"59","Czechoslovakia",1800,NA,NA,NA,NA,NA,NA,NA,NA
"60","Denmark",1800,NA,37.41,4.04,1062514,NA,NA,NA,NA
"61","Djibouti",1800,NA,29.9,6.3,22848,NA,NA,NA,NA
"62","Dominica",1800,NA,NA,NA,19950,NA,NA,NA,NA
"63","Dominican Republic",1800,NA,29.9,6.16,89000,NA,NA,NA,NA
"64","East Germany",1800,NA,NA,NA,NA,NA,NA,NA,NA
"65","Ecuador",1800,NA,32.9,6.98,5e+05,NA,NA,NA,NA
"66","Egypt",1800,NA,33,6.06,4243515,NA,NA,NA,NA
"67","El Salvador",1800,NA,28.7,5.9,248000,NA,NA,NA,NA
"68","Equatorial Guinea",1800,NA,29.8,5.51,80377,NA,NA,NA,NA
"69","Eritrea",1800,NA,30.2,6.96,205010,NA,NA,NA,NA
"70","Eritrea and Ethiopia",1800,NA,NA,NA,NA,NA,NA,NA,NA
"71","Estonia",1800,NA,36.14,5.59,334136,NA,NA,NA,NA
"72","Ethiopia",1800,NA,29.7,7.17,2948990,NA,NA,NA,NA
"73","Faeroe Islands",1800,NA,NA,NA,13537,NA,NA,NA,NA
"74","Falkland Is (Malvinas)",1800,NA,NA,NA,100,NA,NA,NA,NA
"75","Fiji",1800,NA,26.1,6.45,130533,NA,NA,NA,NA
"76","Finland",1800,NA,36.57,4.92,977662,NA,825.3,NA,NA
"77","France",1800,NA,33.97,4.41,29355111,NA,NA,NA,NA
