ccp,cr,avg_val,rev,exp,pro,ROI
0.6,0.004,126.5,506.0,600,-94.0,-0.16
0.6,0.004,136.5,546.0,600,-54.0,-0.09
0.6,0.005,126.5,632.5,600,32.5,0.05
0.6,0.005,136.5,682.5,600,82.5,0.14
0.6,0.006,126.5,759.0,600,159.0,0.27
0.6,0.006,136.5,819.0,600,219.0,0.36
0.6,0.007,126.5,885.5,600,285.5,0.48
0.6,0.007,136.5,955.5,600,355.5,0.59
0.6,0.008,126.5,1012.0,600,412.0,0.69
0.6,0.008,136.5,1092.0,600,492.0,0.82
0.6,0.009,126.5,1138.5,600,538.5,0.9
0.6,0.009,136.5,1228.5,600,628.5,1.05
0.6,0.01,126.5,1265.0,600,665.0,1.11
0.6,0.01,136.5,1365.0,600,765.0,1.27
0.6,0.011,126.5,1391.5,600,791.5,1.32
0.6,0.011,136.5,1501.5,600,901.5,1.5
0.6,0.012,126.5,1518.0,600,918.0,1.53
0.6,0.012,136.5,1638.0,600,1038.0,1.73
0.6,0.013,126.5,1644.5,600,1044.5,1.74
0.6,0.013,136.5,1774.5,600,1174.5,1.96
0.6,0.014,126.5,1771.0,600,1171.0,1.95
0.6,0.014,136.5,1911.0,600,1311.0,2.19
0.61,0.004,126.5,497.7,600,-102.3,-0.17
0.61,0.004,136.5,537.05,600,-62.95,-0.1
0.61,0.005,126.5,622.13,600,22.13,0.04
0.61,0.005,136.5,671.31,600,71.31,0.12
0.61,0.006,126.5,746.56,600,146.56,0.24
0.61,0.006,136.5,805.57,600,205.57,0.34
0.61,0.007,126.5,870.98,600,270.98,0.45
0.61,0.007,136.5,939.84,600,339.84,0.57
0.61,0.008,126.5,995.41,600,395.41,0.66
0.61,0.008,136.5,1074.1,600,474.1,0.79
0.61,0.009,126.5,1119.84,600,519.84,0.87
0.61,0.009,136.5,1208.36,600,608.36,1.01
0.61,0.01,126.5,1244.26,600,644.26,1.07
0.61,0.01,136.5,1342.62,600,742.62,1.24
0.61,0.011,126.5,1368.69,600,768.69,1.28
0.61,0.011,136.5,1476.89,600,876.89,1.46
0.61,0.012,126.5,1493.11,600,893.11,1.49
0.61,0.012,136.5,1611.15,600,1011.15,1.69
0.61,0.013,126.5,1617.54,600,1017.54,1.7
0.61,0.013,136.5,1745.41,600,1145.41,1.91
0.61,0.014,126.5,1741.97,600,1141.97,1.9
0.61,0.014,136.5,1879.67,600,1279.67,2.13
0.62,0.004,126.5,489.68,600,-110.32,-0.18
0.62,0.004,136.5,528.39,600,-71.61,-0.12
0.62,0.005,126.5,612.1,600,12.1,0.02
0.62,0.005,136.5,660.48,600,60.48,0.1
0.62,0.006,126.5,734.52,600,134.52,0.22
0.62,0.006,136.5,792.58,600,192.58,0.32
0.62,0.007,126.5,856.94,600,256.94,0.43
0.62,0.007,136.5,924.68,600,324.68,0.54
0.62,0.008,126.5,979.35,600,379.35,0.63
0.62,0.008,136.5,1056.77,600,456.77,0.76
0.62,0.009,126.5,1101.77,600,501.77,0.84
0.62,0.009,136.5,1188.87,600,588.87,0.98
0.62,0.01,126.5,1224.19,600,624.19,1.04
0.62,0.01,136.5,1320.97,600,720.97,1.2
0.62,0.011,126.5,1346.61,600,746.61,1.24
0.62,0.011,136.5,1453.06,600,853.06,1.42
0.62,0.012,126.5,1469.03,600,869.03,1.45
0.62,0.012,136.5,1585.16,600,985.16,1.64
0.62,0.013,126.5,1591.45,600,991.45,1.65
0.62,0.013,136.5,1717.26,600,1117.26,1.86
0.62,0.014,126.5,1713.87,600,1113.87,1.86
0.62,0.014,136.5,1849.35,600,1249.35,2.08
0.63,0.004,126.5,481.9,600,-118.1,-0.2
0.63,0.004,136.5,520.0,600,-80.0,-0.13
0.63,0.005,126.5,602.38,600,2.38,0.0
