,0
0,SHORE REGIONAL HIGH SCHOOL
1,MATAWAN REGIONAL HIGH SCHOOL
2,MARLBORO HIGH SCHOOL
3,MARINE ACADEMY OF SCIENCE AND TECHNOLOGY
4,WALL HIGH SCHOOL
5,MANALAPAN HIGH SCHOOL
6,ACADEMY OF ALLIED HEALTH AND SCIENCE
7,HOWELL HIGH SCHOOL
8,ALLENTOWN HIGH SCHOOL
9,BIOTECHNOLOGY HIGH SCHOOL
10,HOLMDEL HIGH SCHOOL
11,COLTS NECK HIGH SCHOOL
12,COMMUNICATIONS HIGH SCHOOL
13,HIGH TECHNOLOGY HIGH SCHOOL
14,FREEHOLD BOROUGH HIGH SCHOOL
15,HENRY HUDSON REGIONAL SCHOOL
16,FREEHOLD TOWNSHIP HIGH SCHOOL
17,RUMSON-FAIR HAVEN REGIONAL HIGH SCHOOL
18,MANASQUAN HIGH SCHOOL
19,RED BANK REGIONAL HIGH SCHOOL
20,MIDDLETOWN HIGH SCHOOL NORTH
21,MIDDLETOWN HIGH SCHOOL SOUTH
22,OCEAN TOWNSHIP HIGH SCHOOL
23,SOMERVILLE HIGH SCHOOL
24,HILLSBOROUGH HIGH SCHOOL
25,BERNARDS HIGH SCHOOL
26,SOMERSET COUNTY VOCATIONAL TECHNICAL HIGH SCHOOL
27,MONTGOMERY HIGH SCHOOL
28,RIDGE HIGH SCHOOL
29,WATCHUNG HILLS REGIONAL HIGH SCHOOL
30,BRIDGEWATER-RARITAN HIGH SCHOOL
31,KINNELON HIGH SCHOOL
32,JEFFERSON TOWNSHIP HIGH SCHOOL
33,MADISON HIGH SCHOOL
34,BOONTON HIGH SCHOOL
35,MOUNTAIN LAKES HIGH SCHOOL
36,HANOVER PARK HIGH SCHOOL
37,MONTVILLE TOWNSHIP HIGH SCHOOL
38,PEQUANNOCK TOWNSHIP HIGH SCHOOL
39,WHIPPANY PARK HIGH SCHOOL
40,PARSIPPANY HILLS HIGH SCHOOL
41,PARSIPPANY HIGH SCHOOL
42,MORRIS HILLS HIGH SCHOOL
43,BUTLER HIGH SCHOOL
44,MORRIS KNOLLS HIGH SCHOOL
45,RANDOLPH HIGH SCHOOL
46,ROXBURY HIGH SCHOOL
47,CHATHAM HIGH SCHOOL
48,MORRISTOWN HIGH SCHOOL
49,MOUNT OLIVE HIGH SCHOOL
50,WEST MORRIS CENTRAL HIGH SCHOOL
51,WEST MORRIS MENDHAM HIGH SCHOOL
52,EDISON HIGH SCHOOL
53,OLD BRIDGE HIGH SCHOOL
54,SPOTSWOOD HIGH SCHOOL
55,HIGHLAND PARK HIGH SCHOOL
56,JOHN P. STEVENS HIGH SCHOOL
57,SOUTH PLAINFIELD HIGH SCHOOL
58,PISCATAWAY TOWNSHIP HIGH SCHOOL
59,NORTH BRUNSWICK TOWNSHIP HIGH SCHOOL
60,MONROE TOWNSHIP HIGH SCHOOL
61,SOUTH BRUNSWICK HIGH SCHOOL
62,DUNELLEN HIGH SCHOOL
